nom_club,url_ffhb
aviron bayonnais handball,https://monclub.ffhandball.fr/clubs/aviron-bayonnais-handball/
bruges sports 64,https://monclub.ffhandball.fr/clubs/bruges-sports-64/
bordes sports,https://monclub.ffhandball.fr/clubs/bordes-sports/
us bosdarros,https://monclub.ffhandball.fr/clubs/us-bosdarros/
handball club gan,https://monclub.ffhandball.fr/clubs/handball-club-gan/
irisartarrak hb,https://monclub.ffhandball.fr/clubs/irisartarrak-hb/
lasseube handball,https://monclub.ffhandball.fr/clubs/lasseube-handball/
esprit lons handball,https://monclub.ffhandball.fr/clubs/esprit-lons-handball/
association sportive madiran,https://monclub.ffhandball.fr/clubs/association-sportive-madiran/
us coarraze nay hb,https://monclub.ffhandball.fr/clubs/us-coarraze-nay-hb/
hbc oloron,https://monclub.ffhandball.fr/clubs/hbc-oloron/
vo hbc,https://monclub.ffhandball.fr/clubs/vo-hbc/
entente lee ousse,https://monclub.ffhandball.fr/clubs/entente-lee-ousse/
orthez handball,https://monclub.ffhandball.fr/clubs/orthez-handball/
us luzienne et cibourienne,https://monclub.ffhandball.fr/clubs/us-luzienne-et-cibourienne/
saint pee union club,https://monclub.ffhandball.fr/clubs/saint-pee-union-club/
olympique ossalois laruns handball,https://monclub.ffhandball.fr/clubs/olympique-ossalois-laruns-handball/
as urrunarrak,https://monclub.ffhandball.fr/clubs/as-urrunarrak/
anglet biarritz olympique handball,https://monclub.ffhandball.fr/clubs/anglet-biarritz-olympique-handball/
stade hendayais hb,https://monclub.ffhandball.fr/clubs/stade-hendayais-hb/
lescar hb,https://monclub.ffhandball.fr/clubs/lescar-hb/
cordee benejacquoise,https://monclub.ffhandball.fr/clubs/cordee-benejacquoise/
montaut hb,https://monclub.ffhandball.fr/clubs/montaut-hb/
biarritz olympique,https://monclub.ffhandball.fr/clubs/biarritz-olympique/
sukil hand cambo,https://monclub.ffhandball.fr/clubs/sukil-hand-cambo/
hbc escoubes,https://monclub.ffhandball.fr/clubs/hbc-escoubes/
hbc lucq de bearn,https://monclub.ffhandball.fr/clubs/hbc-lucq-de-bearn/
handball club de denguin,https://monclub.ffhandball.fr/clubs/handball-club-de-denguin/
sarako urtxintxak,https://monclub.ffhandball.fr/clubs/sarako-urtxintxak/
handball club aspois,https://monclub.ffhandball.fr/clubs/handball-club-aspois/
buros hb,https://monclub.ffhandball.fr/clubs/buros-hb/
us nafarroa handball,https://monclub.ffhandball.fr/clubs/us-nafarroa-handball/
entente barzunaise,https://monclub.ffhandball.fr/clubs/entente-barzunaise/
us saint palaisienne amikuze hb,https://monclub.ffhandball.fr/clubs/us-saint-palaisienne-amikuze-hb/
etoile des sports montlucon handball,https://monclub.ffhandball.fr/clubs/etoile-des-sports-montlucon-handball/
club sportif cosnois,https://monclub.ffhandball.fr/clubs/club-sportif-cosnois/
as dompierre jaligny hb,https://monclub.ffhandball.fr/clubs/as-dompierre-jaligny-hb/
blanzat sport montlucon,https://monclub.ffhandball.fr/clubs/blanzat-sport-montlucon/
handball varennes st pourcain,https://monclub.ffhandball.fr/clubs/handball-varennes-st-pourcain/
vichy communaute handball,https://monclub.ffhandball.fr/clubs/vichy-communaute-handball/
section hand mjc saint germain,https://monclub.ffhandball.fr/clubs/section-hand-mjc-saint-germain/
hand ball yzeure,https://monclub.ffhandball.fr/clubs/hand-ball-yzeure/
amicale sportive montmarault section hand,https://monclub.ffhandball.fr/clubs/amicale-sportive-montmarault-section-hand/
handball club commentry,https://monclub.ffhandball.fr/clubs/handball-club-commentry/
handball club gannatois,https://monclub.ffhandball.fr/clubs/handball-club-gannatois/
